X,Y,Z,Roll,Pitch,Yaw,Actual X,Actual Y,Actual Z,Actual Roll,Actual Pitch,Actual Yaw,SMC X,SMC Y,SMC Z,SMC Roll,SMC Pitch,SMC Yaw,Target X,Target Y,Target Z,Target Roll,Target Pitch,Target Yaw,EKF X,EKF Y,EKF Z,EKF Roll,EKF Pitch,EKF Yaw
0.044762,-0.0352,0,-0.0503,0,0,0.005,-0.02,0,-0.03,0,0,-0.817,-0.704,0,-1.006,0,0,0.09,0,0,0,0,0,0.045224,0,0,0,0,0
0.044724,-0.035226,0.10002,-0.050291,0.05004,0,0.005,-0.022552,0.0019608,-0.029077,0.004,0,-0.817,-0.70451,2.0004,-1.0058,1.0008,0,0.09,0,0,0,0,0,0.060396,0,0,0,0,0
0.044705,-0.035251,0.10004,-0.050282,0.05008,0,0.005,-0.025105,0.0039216,-0.028154,0.008,0,-0.817,-0.70502,2.0008,-1.0056,1.0016,0,0.09,0,0,0,0,0,0.068052,0,0,0,0,0
0.044693,-0.035277,0.10006,-0.050272,0.05012,0,0.005,-0.027657,0.0058824,-0.027231,0.012,0,-0.817,-0.70553,2.0012,-1.0054,1.0024,0,0.09,0,0,0,0,0,0.072699,0,0,0,0,0
0.044685,-0.035302,0.10008,-0.050263,0.05016,0,0.005,-0.03021,0.0078431,-0.026308,0.016,0,-0.817,-0.70604,2.0016,-1.0053,1.0032,0,0.09,0,0,0,0,0,0.075839,0,0,0,0,0
0.04468,-0.035328,0.1001,-0.050254,0.0502,0,0.005,-0.032762,0.0098039,-0.025385,0.02,0,-0.817,-0.70655,2.002,-1.0051,1.004,0,0.09,0,0,0,0,0,0.078115,0,0,0,0,0
0.044675,-0.035353,0.10012,-0.050245,0.05024,0,0.005,-0.035315,0.011765,-0.024462,0.024,0,-0.817,-0.70706,2.0024,-1.0049,1.0048,0,0.09,0,0,0,0,0,0.079848,0,0,0,0,0
0.044672,-0.035379,0.10014,-0.050235,0.05028,0,0.005,-0.037867,0.013725,-0.023538,0.028,0,-0.817,-0.70757,2.0027,-1.0047,1.0056,0,0.09,0,0,0,0,0,0.081217,0,0,0,0,0
0.044669,-0.035404,0.10016,-0.050226,0.05032,0,0.005,-0.04042,0.015686,-0.022615,0.032,0,-0.817,-0.70808,2.0031,-1.0045,1.0064,0,0.09,0,0,0,0,0,0.082328,0,0,0,0,0
0.044667,-0.03543,0.10018,-0.050217,0.05036,0,0.005,-0.042972,0.017647,-0.021692,0.036,0,-0.817,-0.70859,2.0035,-1.0043,1.0072,0,0.09,0,0,0,0,0,0.083249,0,0,0,0,0
0.044648,-0.033759,0.10868,-0.050208,0.0504,0,0.005,-0.045524,0.019608,-0.020769,0.04,0,-0.817,-0.70946,2.0021,-1.0042,1.008,0,0.089982,0.0017999,0.009,0,0,0,0.084025,0.00020721,0.0010361,0,0,0
0.044646,-0.033785,0.10869,-0.050198,0.05044,0,0.005,-0.048077,0.021569,-0.019846,0.044,0,-0.817,-0.70998,2.0025,-1.004,1.0088,0,0.089982,0.0017999,0.009,0,0,0,0.084687,0.00038433,0.0019218,0,0,0
0.044645,-0.033811,0.10871,-0.050189,0.05048,0,0.005,-0.050629,0.023529,-0.018923,0.048,0,-0.817,-0.71049,2.0029,-1.0038,1.0096,0,0.089982,0.0017999,0.009,0,0,0,0.085259,0.00053736,0.002687,0,0,0
0.044644,-0.033837,0.10873,-0.05018,0.05052,0,0.005,-0.053182,0.02549,-0.018,0.052,0,-0.817,-0.711,2.0033,-1.0036,1.0104,0,0.089982,0.0017999,0.009,0,0,0,0.085758,0.00067072,0.0033538,0,0,0
0.044643,-0.033863,0.10875,-0.050171,0.05056,0,0.005,-0.055734,0.027451,-0.017077,0.056,0,-0.817,-0.71151,2.0037,-1.0034,1.0112,0,0.089982,0.0017999,0.009,0,0,0,0.086196,0.00078776,0.003939,0,0,0
0.044642,-0.033889,0.10877,-0.050162,0.0506,0,0.005,-0.058287,0.029412,-0.016154,0.06,0,-0.817,-0.71202,2.0041,-1.0032,1.012,0,0.089982,0.0017999,0.009,0,0,0,0.086582,0.00089104,0.0044555,0,0,0
0.044641,-0.033914,0.10878,-0.050152,0.05064,0,0.005,-0.060839,0.031373,-0.015231,0.064,0,-0.817,-0.71253,2.0045,-1.003,1.0128,0,0.089982,0.0017999,0.009,0,0,0,0.086925,0.00098262,0.0049134,0,0,0
0.04464,-0.03394,0.1088,-0.050143,0.05068,0,0.005,-0.063392,0.033333,-0.014308,0.068,0,-0.817,-0.71304,2.0049,-1.0029,1.0136,0,0.089982,0.0017999,0.009,0,0,0,0.08723,0.0010641,0.0053209,0,0,0
0.044639,-0.033966,0.10882,-0.050134,0.05072,0,0.005,-0.065944,0.035294,-0.013385,0.072,0,-0.817,-0.71355,2.0053,-1.0027,1.0144,0,0.089982,0.0017999,0.009,0,0,0,0.087502,0.0011369,0.0056846,0,0,0
